Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Eixample,Moderate,2.1538,41.3853,19h,Good,1,19h,Moderate,101,19h,Good,27,15-11-2018 20:00,1542308702
Barcelona - Gràcia,Moderate,2.1534,41.3987,19h,Good,3,19h,Moderate,94,NA,NA,NA,15-11-2018 20:00,1542308702
Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,14,19h,Good,62,NA,NA,NA,15-11-2018 20:00,1542308702
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,18,19h,Good,56,19h,Good,18,15-11-2018 20:00,1542308702
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,5,19h,Good,67,19h,Good,20,15-11-2018 20:00,1542308702
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,19h,Good,58,19h,Good,20,15-11-2018 20:00,1542308702
Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,--,NA,17h,--,NA,19h,Good,9,15-11-2018 20:00,1542308702
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,20h,Good,71,NA,NA,NA,15-11-2018 21:00,1542312301
Barcelona - Eixample,Moderate,2.1538,41.3853,19h,Good,1,19h,Moderate,101,20h,Good,27,15-11-2018 21:00,1542312301
Barcelona - Gràcia,Good,2.1534,41.3987,20h,Good,4,20h,Good,83,NA,NA,NA,15-11-2018 21:00,1542312301
Barcelona - Ciutadella,Good,2.1874,41.3864,20h,Good,26,20h,Good,42,NA,NA,NA,15-11-2018 21:00,1542312301
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,21,20h,Good,52,20h,Good,18,15-11-2018 21:00,1542312301
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,3,20h,Good,72,20h,Good,19,15-11-2018 21:00,1542312301
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,20h,Good,51,20h,Good,20,15-11-2018 21:00,1542312301
Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,--,NA,18h,--,NA,20h,Good,9,15-11-2018 21:00,1542312301
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,21h,Good,54,NA,NA,NA,15-11-2018 22:00,1542315901
Barcelona - Eixample,Moderate,2.1538,41.3853,19h,Good,1,19h,Moderate,101,21h,Good,26,15-11-2018 22:00,1542315901
Barcelona - Gràcia,Good,2.1534,41.3987,21h,Good,13,21h,Good,70,NA,NA,NA,15-11-2018 22:00,1542315901
