Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,20.0,12h,Good,35.0,12h,Good,12.0,16/11/2018 13:00,1542369902
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,11.0,11h,Good,44.0,12h,Good,13.0,16/11/2018 13:00,1542369902
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,6.0,11h,Good,74.0,13h,Good,20.0,16/11/2018 14:00,1542373501
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,20.0,12h,Good,35.0,13h,Good,11.0,16/11/2018 14:00,1542373501
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,23.0,13h,Good,31.0,13h,Good,13.0,16/11/2018 14:00,1542373501
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,20.0,12h,Good,35.0,14h,Good,10.0,16/11/2018 15:00,1542377102
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,12.0,14h,Good,47.0,14h,Good,13.0,16/11/2018 15:00,1542377102
Barcelona - Eixample,Good,2.1538,41.3853,15h,Good,5.0,15h,Good,88.0,15h,Good,21.0,16/11/2018 16:00,1542380702
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,17.0,15h,Good,59.0,15h,Good,10.0,16/11/2018 16:00,1542380702
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,16.0,15h,Good,50.0,15h,Good,12.0,16/11/2018 16:00,1542380702
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,14.0,16h,Good,84.0,16h,Good,22.0,16/11/2018 17:00,1542384301
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,35.0,16h,Good,44.0,16h,Good,11.0,16/11/2018 17:00,1542384301
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,29.0,16h,Good,42.0,16h,Good,13.0,16/11/2018 17:00,1542384301
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,20.0,17h,Good,73.0,17h,Good,22.0,16/11/2018 18:00,1542387903
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,40.0,17h,Good,40.0,17h,Good,12.0,16/11/2018 18:00,1542387903
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,35.0,17h,Good,35.0,17h,Good,13.0,16/11/2018 18:00,1542387903
Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,13.0,18h,Good,85.0,18h,Good,23.0,16/11/2018 19:00,1542391502
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,35.0,18h,Good,46.0,18h,Good,13.0,16/11/2018 19:00,1542391502
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,24.0,18h,Good,48.0,18h,Good,14.0,16/11/2018 19:00,1542391502
